Grupo ID;Insumo Original
Grupo 1;"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO"
Grupo 1;"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" x 90º CLASE 150 ASTM A197 - ROSCADO"
Grupo 1;"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 2 1/2" x 90º CLASE 150 ASTM A197  - ROSCADO"
Grupo 1;"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1" x 90º CLASE 150 ASTM A197 - ROSCADO"
Grupo 1;"CODO DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/4" x 90º CLASE 150 ASTM A197  - ROSCADO"
Grupo 2;"TUBERIA SCH - 40 DE Ø 1 1/2""
Grupo 2;"TUBERIA SCH - 40 DE Ø 1/2""
Grupo 2;"TUBERIA SCH - 40 DE Ø 2 1/2""
Grupo 3;"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" X 3/4" CLASE 150 ASTM A197 - ROSCADO"
Grupo 3;"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 3/4" X 1/2" CLASE 150 ASTM A197 - ROSCADO"
Grupo 3;"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 1" X 3/4" CLASE 150 ASTM A197 - ROSCADO"
Grupo 4;"TUBERIA DE COBRE TIPO L DE 1 1/2""
Grupo 4;"TUBERIA DE COBRE TIPO L DE 1/2""
Grupo 4;"TUBERIA DE COBRE TIPO L DE 1""
Grupo 4;"TUBERIA DE COBRE TIPO L DE 1 1/4""
Grupo 4;"TUBERIA DE COBRE TIPO L DE 3/4""
Grupo 5;"REDUCCIÓN BUSHING DE FIERRO MALEABLE GALVANIZADO DE 2 1/2" X 1 1/2" CLASE 150 ASTM A197 - ROSCADO"
