Insumo 1;Insumo 2;Similitud (%)
"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"UNION SIMPLE DE FIERRO MALEABLE GALVANIZADO DE 2 1/2 "CLASE 150 ASTM A197 - ROSCADO";100.00%
"UNION UNIVERSAL DE COBRE TIPO L 1 1/2"";"UNION UNIVERSAL DE COBRE TIPO L 1/2"";100.00%
"UNION UNIVERSAL 1 1/2" CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";"UNION UNIVERSAL 1/2" CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";100.00%
"UNION UNIVERSAL DE BRONCE 1 1/2"";"UNION UNIVERSAL DE BRONCE 1/2"";100.00%
"UNION UNIVERSAL DE BRONCE 1 1/2"";"UNION UNIVERSAL DE BRONCE 2 1/2"";100.00%
"UNION UNIVERSAL DE BRONCE 1/2"";"UNION UNIVERSAL DE BRONCE 2 1/2"";100.00%
"UNION UNIVERSAL DE COBRE 1 1/2"";"UNION UNIVERSAL DE COBRE 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/4" - 3/4"";"REDUCCION DE COBRE SOLDABLE 1" - 3/4"";100.00%
"REDUCCION DE COBRE SOLDABLE 1" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2" - 1 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2" - 1"";100.00%
"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/2"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 2"";100.00%
"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/2"";"REDUCCION DE COBRE SOLDABLE 2" - 1 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/2"";"REDUCCION DE COBRE SOLDABLE 2" - 1"";100.00%
"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/4"";"REDUCCION DE COBRE SOLDABLE 2" - 1 1/4"";100.00%
"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/4"";"REDUCCION DE COBRE SOLDABLE 4" - 2 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 2 1/2" - 2"";"REDUCCION DE COBRE SOLDABLE 2" - 1 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 2 1/2" - 2"";"REDUCCION DE COBRE SOLDABLE 2" - 1"";100.00%
"REDUCCION DE COBRE SOLDABLE 2" - 1 1/2"";"REDUCCION DE COBRE SOLDABLE 2" - 1"";100.00%
"REDUCCION DE COBRE SOLDABLE 2" - 1 1/4"";"REDUCCION DE COBRE SOLDABLE 4" - 2 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 3" - 1 1/2"";"REDUCCION DE COBRE SOLDABLE 3" - 2 1/2"";100.00%
"REDUCCIÓN DE COBRE TIPO L DE 1 1/2" A 1"";"REDUCCIÓN DE COBRE TIPO L DE 1" A 1/2"";100.00%
"ABRAZADERA UNISTRUT DE 1 1/2''";"ABRAZADERA UNISTRUT DE 1/2''";100.00%
"ABRAZADERA UNISTRUT DE 1 1/2''";"ABRAZADERA UNISTRUT DE 2 1/2''";100.00%
"REGLA DE ALUMINIO";"REGLA DE ALUMINIO";100.00%
"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 1 1/2"";"SALIDA DE SISTEMA DE RETORNO CONDENSADO Ø 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2" - 1"";100.00%
"JUNTA DE EXPANSIÓN SISMICA DE 1/2"";"JUNTA DE EXPANSIÓN SISMICA DE 2 1/2"";100.00%
"ABRAZADERA UNISTRUT DE 1/2''";"ABRAZADERA UNISTRUT DE 2 1/2''";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 3/4"";"REDUCCION DE COBRE SOLDABLE 3/4" - 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2" - 1 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 2"";100.00%
"ACOPLADOR HDMI PARA FACEPLATE";"FACEPLATE PARA ACOPLADOR HDMI";100.00%
"ACOPLE SCH - 40 1 1/2"";"ACOPLE SCH - 40 2 1/2"";100.00%
"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOX. DE Ø 1 1/2"";"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOX. DE Ø 2 1/2"";100.00%
"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1 1/2", 1M";"JUNTA FLEXIBLE DE EXPANSION DE ACERO INOXIDABLE 1/2", 1M";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1/2"";"REDUCCION DE COBRE SOLDABLE 1" - 1/2"";100.00%
"HERRAMIENTAS MANUALES";"HERRAMIENTAS MANUALES";100.00%
"ADAPTADOR DE COBRE ROSCA MACHO 1 1/2"";"ADAPTADOR DE COBRE ROSCA MACHO 1/2"";100.00%
"ADAPTADOR DE COBRE ROSCA MACHO 1 1/2"";"ADAPTADOR DE COBRE ROSCA MACHO 2 1/2"";100.00%
"TEE  1 1/2" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";"TEE  1/2" x 90º CLASE150 MI 197 - ROSCADO FIERRO MALEABLE";100.00%
"TEE DE COBRE SOLDABLE  1/2"";"TEE DE COBRE SOLDABLE  2 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1"";"REDUCCION DE COBRE SOLDABLE 2" - 1"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1"";"REDUCCION DE COBRE SOLDABLE 2" - 1 1/2"";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/2" - 1"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 2"";100.00%
"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1 1/2" CLASE 150 ASTM A197 - ROSCADO";"TEE DE FIERRO MALEABLE GALVANIZADO DE Ø 1/2" CLASE 150 ASTM A197 - ROSCADO";100.00%
"REDUCCION DE COBRE SOLDABLE 1 1/4" - 1/2"";"REDUCCION DE COBRE SOLDABLE 2 1/2" - 1 1/4"";100.00%
"TEE MECANICA SCH - 40 2 1/2" - 1 1/2"";"TEE MECANICA SCH - 40 2 1/2" - 1"";100.00%
